time:1150938620674Acc:nullGyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3777545279609Acc:[0.48692322, 5.1607056, 8.112747]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3777608847724Acc:[0.6305847, 5.242111, 8.356964]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3777672415840Acc:[0.18525696, 5.055359, 9.247604]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3777736044990Acc:[-0.18824768, 4.8590393, 9.003403]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3777799643623Acc:[0.5731201, 3.8630524, 8.740036]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3777863211738Acc:[0.6114197, 3.7337646, 8.931564]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3777913565742Acc:[0.6114197, 3.7337646, 8.931564]Gyro:nullMag:nullPre:nullrot:[0.2562229, -0.05812594, -0.16896443, 0.94995904, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3779122061836Acc:[0.209198, 4.289215, 8.826218]Gyro:[0.05329895, 0.002609253, -0.006134033]Mag:[-18.536377, 29.980469, -53.5141]Pre:nullrot:[0.2085588, -0.054304518, -0.17321536, 0.96101546, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3779122061836Acc:[0.209198, 4.289215, 8.826218]Gyro:[0.05329895, 0.002609253, -0.006134033]Mag:[-18.536377, 29.980469, -53.5141]Pre:nullrot:[0.21130383, -0.054835342, -0.17228818, 0.9605522, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3779122061836Acc:[0.209198, 4.289215, 8.826218]Gyro:[0.06478882, 0.0027618408, -0.0042266846]Mag:[-18.536377, 29.980469, -53.5141]Pre:nullrot:[0.21130383, -0.054835342, -0.17228818, 0.9605522, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3779135001289Acc:[0.27145386, 4.2940063, 8.682571]Gyro:[0.06478882, 0.0027618408, -0.0042266846]Mag:[-18.536377, 29.980469, -53.5141]Pre:nullrot:[0.21130383, -0.054835342, -0.17228818, 0.9605522, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3779198599922Acc:[0.11343384, 4.356247, 8.965088]Gyro:[0.06478882, 0.0027618408, -0.0042266846]Mag:[-18.536377, 29.980469, -53.5141]Pre:nullrot:[0.21130383, -0.054835342, -0.17228818, 0.9605522, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3779262168037Acc:[0.19004822, 4.4089203, 8.749619]Gyro:[0.06478882, 0.0027618408, -0.0042266846]Mag:[-18.536377, 29.980469, -53.5141]Pre:nullrot:[0.21130383, -0.054835342, -0.17228818, 0.9605522, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3779323508369Acc:[0.19004822, 4.4089203, 8.749619]Gyro:[0.06478882, 0.0027618408, -0.0042266846]Mag:[-18.38684, 29.756165, -53.5141]Pre:nullrot:[0.21130383, -0.054835342, -0.17228818, 0.9605522, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3779323508369Acc:[0.19004822, 4.4089203, 8.749619]Gyro:[0.0741272, 0.002822876, -0.0012664795]Mag:[-18.38684, 29.756165, -53.5141]Pre:nullrot:[0.21130383, -0.054835342, -0.17228818, 0.9605522, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3779323508369Acc:[0.19004822, 4.4089203, 8.749619]Gyro:[0.0741272, 0.002822876, -0.0012664795]Mag:[-18.38684, 29.756165, -53.5141]Pre:nullrot:[0.21776427, -0.052110057, -0.17426026, 0.95890385, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3779325766670Acc:[0.31933594, 4.423294, 8.663422]Gyro:[0.0741272, 0.002822876, -0.0012664795]Mag:[-18.38684, 29.756165, -53.5141]Pre:nullrot:[0.21776427, -0.052110057, -0.17426026, 0.95890385, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
