time:77187440861868Acc:[-0.19302368, 2.5989075, 9.491821]Gyro:[-0.06561279, -0.0362854, -0.07897949]Mag:[6.9641113, 32.081604, -15.414429]Pre:nullrot:[0.12972869, 0.01154008, 0.097828954, 0.9866442, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77187462773489Acc:[-0.19302368, 2.5989075, 9.491821]Gyro:[-0.06414795, -0.038711548, -0.08482361]Mag:[6.9641113, 32.081604, -15.414429]Pre:nullrot:[0.12972869, 0.01154008, 0.097828954, 0.9866442, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77187462773489Acc:[-0.19302368, 2.5989075, 9.491821]Gyro:[-0.06414795, -0.038711548, -0.08482361]Mag:[6.9641113, 32.081604, -15.414429]Pre:nullrot:[0.13246833, 0.017253837, 0.096420124, 0.98633546, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77187462773489Acc:[-0.19302368, 2.5989075, 9.491821]Gyro:[-0.06414795, -0.038711548, -0.08482361]Mag:[6.9641113, 31.781006, -15.339661]Pre:nullrot:[0.13246833, 0.017253837, 0.096420124, 0.98633546, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77187504429983Acc:[-0.23612976, 2.7090454, 9.247604]Gyro:[-0.06414795, -0.038711548, -0.08482361]Mag:[6.9641113, 31.781006, -15.339661]Pre:nullrot:[0.13246833, 0.017253837, 0.096420124, 0.98633546, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77187567998098Acc:[-0.31752014, 2.5989075, 9.774338]Gyro:[-0.06414795, -0.038711548, -0.08482361]Mag:[6.9641113, 31.781006, -15.339661]Pre:nullrot:[0.13246833, 0.017253837, 0.096420124, 0.98633546, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77187631566214Acc:[-0.17866516, 2.4313202, 9.376892]Gyro:[-0.06414795, -0.038711548, -0.08482361]Mag:[6.9641113, 31.781006, -15.339661]Pre:nullrot:[0.13246833, 0.017253837, 0.096420124, 0.98633546, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77187664250540Acc:[-0.17866516, 2.4313202, 9.376892]Gyro:[-0.0637207, -0.039855957, -0.08856201]Mag:[6.9641113, 31.781006, -15.339661]Pre:nullrot:[0.13246833, 0.017253837, 0.096420124, 0.98633546, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77187664250540Acc:[-0.17866516, 2.4313202, 9.376892]Gyro:[-0.0637207, -0.039855957, -0.08856201]Mag:[7.2631836, 30.206299, -15.339661]Pre:nullrot:[0.13246833, 0.017253837, 0.096420124, 0.98633546, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77187664250540Acc:[-0.17866516, 2.4313202, 9.376892]Gyro:[-0.0637207, -0.039855957, -0.08856201]Mag:[7.2631836, 30.206299, -15.339661]Pre:nullrot:[0.13376455, 0.02222239, 0.10073189, 0.9856299, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77187695225882Acc:[-0.28401184, 2.5605927, 9.333801]Gyro:[-0.0637207, -0.039855957, -0.08856201]Mag:[7.2631836, 30.206299, -15.339661]Pre:nullrot:[0.13376455, 0.02222239, 0.10073189, 0.9856299, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77187758763479Acc:[-0.26963806, 2.431305, 9.578003]Gyro:[-0.0637207, -0.039855957, -0.08856201]Mag:[7.2631836, 30.206299, -15.339661]Pre:nullrot:[0.13376455, 0.02222239, 0.10073189, 0.9856299, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77187822392630Acc:[-0.22654724, 2.4408875, 9.558853]Gyro:[-0.0637207, -0.039855957, -0.08856201]Mag:[7.2631836, 30.206299, -15.339661]Pre:nullrot:[0.13376455, 0.02222239, 0.10073189, 0.9856299, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77187885960745Acc:[-0.24569702, 2.4839935, 9.467865]Gyro:[-0.0637207, -0.039855957, -0.08856201]Mag:[7.2631836, 30.206299, -15.339661]Pre:nullrot:[0.13376455, 0.02222239, 0.10073189, 0.9856299, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77187865269827Acc:[-0.24569702, 2.4839935, 9.467865]Gyro:[-0.0637207, -0.039855957, -0.08856201]Mag:[7.2631836, 30.206299, -15.339661]Pre:nullrot:[0.12871292, 0.026470855, 0.108808145, 0.98533905, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77187865269827Acc:[-0.24569702, 2.4839935, 9.467865]Gyro:[-0.06402588, -0.0395813, -0.0896759]Mag:[7.2631836, 30.206299, -15.339661]Pre:nullrot:[0.12871292, 0.026470855, 0.108808145, 0.98533905, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77187865269827Acc:[-0.24569702, 2.4839935, 9.467865]Gyro:[-0.06402588, -0.0395813, -0.0896759]Mag:[8.239746, 31.330872, -15.115356]Pre:nullrot:[0.12871292, 0.026470855, 0.108808145, 0.98533905, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77187949559378Acc:[-0.27922058, 2.426529, 9.558853]Gyro:[-0.06402588, -0.0395813, -0.0896759]Mag:[8.239746, 31.330872, -15.115356]Pre:nullrot:[0.12871292, 0.026470855, 0.108808145, 0.98533905, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77188013127493Acc:[-0.26963806, 2.4648285, 9.472656]Gyro:[-0.06402588, -0.0395813, -0.0896759]Mag:[8.239746, 31.330872, -15.115356]Pre:nullrot:[0.12871292, 0.026470855, 0.108808145, 0.98533905, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77188076756643Acc:[-0.21217346, 2.4792023, 9.510971]Gyro:[-0.06402588, -0.0395813, -0.0896759]Mag:[8.239746, 31.330872, -15.115356]Pre:nullrot:[0.12871292, 0.026470855, 0.108808145, 0.98533905, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77188067021536Acc:[-0.21217346, 2.4792023, 9.510971]Gyro:[-0.06402588, -0.0395813, -0.0896759]Mag:[8.764648, 31.480408, -14.964294]Pre:nullrot:[0.12871292, 0.026470855, 0.108808145, 0.98533905, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77188067021536Acc:[-0.21217346, 2.4792023, 9.510971]Gyro:[-0.06402588, -0.0395813, -0.0896759]Mag:[8.764648, 31.480408, -14.964294]Pre:nullrot:[0.12470757, 0.027457418, 0.116399154, 0.98495954, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77188067021536Acc:[-0.21217346, 2.4792023, 9.510971]Gyro:[-0.06515503, -0.037765503, -0.08757019]Mag:[8.764648, 31.480408, -14.964294]Pre:nullrot:[0.12470757, 0.027457418, 0.116399154, 0.98495954, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77188140324759Acc:[-0.2361145, 2.5127106, 9.501389]Gyro:[-0.06515503, -0.037765503, -0.08757019]Mag:[8.764648, 31.480408, -14.964294]Pre:nullrot:[0.12470757, 0.027457418, 0.116399154, 0.98495954, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77188203953909Acc:[-0.22654724, 2.4935608, 9.48703]Gyro:[-0.06515503, -0.037765503, -0.08757019]Mag:[8.764648, 31.480408, -14.964294]Pre:nullrot:[0.12470757, 0.027457418, 0.116399154, 0.98495954, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77188267522024Acc:[-0.21217346, 2.45047, 9.573212]Gyro:[-0.06515503, -0.037765503, -0.08757019]Mag:[8.764648, 31.480408, -14.964294]Pre:nullrot:[0.12470757, 0.027457418, 0.116399154, 0.98495954, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77188268345999Acc:[-0.21217346, 2.45047, 9.573212]Gyro:[-0.06515503, -0.037765503, -0.08757019]Mag:[7.713318, 31.556702, -14.964294]Pre:nullrot:[0.12470757, 0.027457418, 0.116399154, 0.98495954, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77188268345999Acc:[-0.21217346, 2.45047, 9.573212]Gyro:[-0.06515503, -0.037765503, -0.08757019]Mag:[7.713318, 31.556702, -14.964294]Pre:nullrot:[0.12517765, 0.026339287, 0.10925589, 0.9857484, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77188268345999Acc:[-0.21217346, 2.45047, 9.573212]Gyro:[-0.06704712, -0.03540039, -0.0844574]Mag:[7.713318, 31.556702, -14.964294]Pre:nullrot:[0.12517765, 0.026339287, 0.10925589, 0.9857484, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
