time:1662583044057Acc:nullGyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1740174383168Acc:[0.3241272, 5.23732, 7.9308014]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1740238256459Acc:[0.28102112, 5.2947845, 7.902069]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1740302129750Acc:[0.13737488, 5.1367645, 9.065643]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1740365972524Acc:[0.29060364, 5.1607056, 8.356964]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1740429815297Acc:[0.21878052, 5.280411, 8.165421]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1740493627553Acc:[0.27622986, 5.280411, 7.9643097]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1740548131948Acc:[0.27622986, 5.280411, 7.9643097]Gyro:nullMag:[15.513611, -13.218689, -43.914795]Pre:nullrot:nullMot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1741898931508Acc:[0.73114014, 5.1846466, 8.323441]Gyro:[0.08358765, 0.038391113, 0.15190125]Mag:[14.312744, -12.619019, -43.614197]Pre:nullrot:[0.24875627, 0.11029651, 0.45719498, 0.84671587, 0.0]Mot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1741958074575Acc:[0.73114014, 5.1846466, 8.323441]Gyro:[0.08358765, 0.038391113, 0.15190125]Mag:[14.312744, -12.768555, -43.763733]Pre:nullrot:[0.24875627, 0.11029651, 0.45719498, 0.84671587, 0.0]Mot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1741958074575Acc:[0.73114014, 5.1846466, 8.323441]Gyro:[0.08358765, 0.038391113, 0.15190125]Mag:[14.312744, -12.768555, -43.763733]Pre:nullrot:[0.25449398, 0.107027605, 0.45838684, 0.84478366, 0.0]Mot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1741958074575Acc:[0.73114014, 5.1846466, 8.323441]Gyro:[0.07997131, 0.0365448, 0.145401]Mag:[14.312744, -12.768555, -43.763733]Pre:nullrot:[0.25449398, 0.107027605, 0.45838684, 0.84478366, 0.0]Mot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1741962255483Acc:[0.6784668, 5.0170593, 8.543701]Gyro:[0.07997131, 0.0365448, 0.145401]Mag:[14.312744, -12.768555, -43.763733]Pre:nullrot:[0.25449398, 0.107027605, 0.45838684, 0.84478366, 0.0]Mot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1742026098256Acc:[0.6305847, 4.945221, 8.553284]Gyro:[0.07997131, 0.0365448, 0.145401]Mag:[14.312744, -12.768555, -43.763733]Pre:nullrot:[0.25449398, 0.107027605, 0.45838684, 0.84478366, 0.0]Mot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1742089971547Acc:[0.6210022, 4.969162, 8.481461]Gyro:[0.07997131, 0.0365448, 0.145401]Mag:[14.312744, -12.768555, -43.763733]Pre:nullrot:[0.25449398, 0.107027605, 0.45838684, 0.84478366, 0.0]Mot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1742159460073Acc:[0.6210022, 4.969162, 8.481461]Gyro:[0.07997131, 0.0365448, 0.145401]Mag:[14.312744, -12.768555, -43.763733]Pre:nullrot:[0.254481, 0.104376234, 0.46590617, 0.8409973, 0.0]Mot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1742159460073Acc:[0.6210022, 4.969162, 8.481461]Gyro:[0.07997131, 0.0365448, 0.145401]Mag:[14.312744, -12.768555, -43.914795]Pre:nullrot:[0.254481, 0.104376234, 0.46590617, 0.8409973, 0.0]Mot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1742159460073Acc:[0.6210022, 4.969162, 8.481461]Gyro:[0.22824097, 0.10231018, 0.4116211]Mag:[14.312744, -12.768555, -43.914795]Pre:nullrot:[0.254481, 0.104376234, 0.46590617, 0.8409973, 0.0]Mot:nullprox:[5.000305, 2.1362305E-4, 0.0]
