time:76881209749669Acc:[-0.48991394, 2.388214, 9.453506]Gyro:[-0.024215698, 0.019821167, 0.0063171387]Mag:[12.138367, 29.980469, -13.91449]Pre:nullrot:[0.117104135, 0.045661032, 0.17010206, 0.9773776, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:76881274141759Acc:[-0.5090637, 2.4360962, 9.515747]Gyro:[-0.024215698, 0.019821167, 0.0063171387]Mag:[12.138367, 29.980469, -13.91449]Pre:nullrot:[0.117104135, 0.045661032, 0.17010206, 0.9773776, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:76881336916417Acc:[-0.4085083, 2.3977966, 9.587585]Gyro:[-0.024215698, 0.019821167, 0.0063171387]Mag:[12.138367, 29.980469, -13.91449]Pre:nullrot:[0.117104135, 0.045661032, 0.17010206, 0.9773776, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:76881401308507Acc:[-0.41329956, 2.4456787, 9.314636]Gyro:[-0.024215698, 0.019821167, 0.0063171387]Mag:[12.138367, 29.980469, -13.91449]Pre:nullrot:[0.117104135, 0.045661032, 0.17010206, 0.9773776, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:76881411135167Acc:[-0.41329956, 2.4456787, 9.314636]Gyro:[-0.024215698, 0.019821167, 0.0063171387]Mag:[12.063599, 29.980469, -13.989258]Pre:nullrot:[0.117104135, 0.045661032, 0.17010206, 0.9773776, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:76881411135167Acc:[-0.41329956, 2.4456787, 9.314636]Gyro:[-0.024215698, 0.019821167, 0.0063171387]Mag:[12.063599, 29.980469, -13.989258]Pre:nullrot:[0.1181673, 0.044473175, 0.16911389, 0.9774759, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:76881411135167Acc:[-0.41329956, 2.4456787, 9.314636]Gyro:[-0.027389526, 0.019454956, 0.0036010742]Mag:[12.063599, 29.980469, -13.989258]Pre:nullrot:[0.1181673, 0.044473175, 0.16911389, 0.9774759, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:76881464907140Acc:[-0.5090637, 2.3547058, 9.472656]Gyro:[-0.027389526, 0.019454956, 0.0036010742]Mag:[12.063599, 29.980469, -13.989258]Pre:nullrot:[0.1181673, 0.044473175, 0.16911389, 0.9774759, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:76881528475255Acc:[-0.41809082, 2.4456787, 9.453506]Gyro:[-0.027389526, 0.019454956, 0.0036010742]Mag:[12.063599, 29.980469, -13.989258]Pre:nullrot:[0.1181673, 0.044473175, 0.16911389, 0.9774759, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:76881592104405Acc:[-0.2648468, 2.206253, 9.496597]Gyro:[-0.027389526, 0.019454956, 0.0036010742]Mag:[12.063599, 29.980469, -13.989258]Pre:nullrot:[0.1181673, 0.044473175, 0.16911389, 0.9774759, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:76881612551183Acc:[-0.2648468, 2.206253, 9.496597]Gyro:[-0.027389526, 0.019454956, 0.0036010742]Mag:[12.063599, 29.980469, -13.989258]Pre:nullrot:[0.11694474, 0.042175088, 0.16665995, 0.978146, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:76881612551183Acc:[-0.2648468, 2.206253, 9.496597]Gyro:[-0.027389526, 0.019454956, 0.0036010742]Mag:[11.7630005, 29.830933, -14.364624]Pre:nullrot:[0.11694474, 0.042175088, 0.16665995, 0.978146, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:76881612551183Acc:[-0.2648468, 2.206253, 9.496597]Gyro:[-0.02911377, 0.018447876, 0.0029754639]Mag:[11.7630005, 29.830933, -14.364624]Pre:nullrot:[0.11694474, 0.042175088, 0.16665995, 0.978146, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:76881655611485Acc:[-0.06852722, 2.2589264, 9.645035]Gyro:[-0.02911377, 0.018447876, 0.0029754639]Mag:[11.7630005, 29.830933, -14.364624]Pre:nullrot:[0.11694474, 0.042175088, 0.16665995, 0.978146, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:76881719210118Acc:[-0.082901, 2.5797577, 9.592361]Gyro:[-0.02911377, 0.018447876, 0.0029754639]Mag:[11.7630005, 29.830933, -14.364624]Pre:nullrot:[0.11694474, 0.042175088, 0.16665995, 0.978146, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:76881782717198Acc:[0.501297, 2.9197388, 9.415192]Gyro:[-0.02911377, 0.018447876, 0.0029754639]Mag:[11.7630005, 29.830933, -14.364624]Pre:nullrot:[0.11694474, 0.042175088, 0.16665995, 0.978146, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:76881813997716Acc:[0.501297, 2.9197388, 9.415192]Gyro:[-0.029937744, 0.018157959, 0.0053253174]Mag:[11.7630005, 29.830933, -14.364624]Pre:nullrot:[0.11694474, 0.042175088, 0.16665995, 0.978146, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:76881813997716Acc:[0.501297, 2.9197388, 9.415192]Gyro:[-0.029937744, 0.018157959, 0.0053253174]Mag:[10.787964, 29.681396, -14.51416]Pre:nullrot:[0.11694474, 0.042175088, 0.16665995, 0.978146, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:76881813997716Acc:[0.501297, 2.9197388, 9.415192]Gyro:[-0.029937744, 0.018157959, 0.0053253174]Mag:[10.787964, 29.681396, -14.51416]Pre:nullrot:[0.11735004, 0.041033864, 0.15712337, 0.97972316, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
