time:1150938608170Acc:nullGyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3121581552506Acc:[-0.46118164, 3.7433472, 8.792709]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3121645059586Acc:[-0.9065094, 3.2932281, 9.573212]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3121708566666Acc:[-0.81552124, 3.3506927, 9.386475]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3121772104263Acc:[-0.73890686, 3.628418, 8.826218]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3121835641861Acc:[-0.7197571, 3.4656067, 9.261963]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3121901590347Acc:[-0.7197571, 3.4656067, 9.261963]Gyro:nullMag:[-14.63623, 38.08136, -55.314636]Pre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3123110086441Acc:[-0.64793396, 3.288437, 9.209305]Gyro:[-0.014907837, -0.006149292, 7.324219E-4]Mag:[-13.887024, 36.280823, -55.163574]Pre:nullrot:[0.17236353, 0.011935817, -0.16163705, 0.97160786, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3123110086441Acc:[-0.64793396, 3.288437, 9.209305]Gyro:[-0.0048065186, -0.0015106201, 0.0]Mag:[-13.887024, 36.280823, -55.163574]Pre:nullrot:[0.17236353, 0.011935817, -0.16163705, 0.97160786, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3123106119156Acc:[-0.63835144, 3.3075867, 9.257187]Gyro:[-0.0048065186, -0.0015106201, 0.0]Mag:[-13.887024, 36.280823, -55.163574]Pre:nullrot:[0.17236353, 0.011935817, -0.16163705, 0.97160786, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3123169748306Acc:[-0.7197571, 3.36026, 9.199722]Gyro:[-0.0048065186, -0.0015106201, 0.0]Mag:[-13.887024, 36.280823, -55.163574]Pre:nullrot:[0.17236353, 0.011935817, -0.16163705, 0.97160786, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3123233102799Acc:[-0.73890686, 3.3985748, 9.19014]Gyro:[-0.0048065186, -0.0015106201, 0.0]Mag:[-13.887024, 36.280823, -55.163574]Pre:nullrot:[0.17236353, 0.011935817, -0.16163705, 0.97160786, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3123296609879Acc:[-0.72454834, 3.3554688, 9.161407]Gyro:[-0.0048065186, -0.0015106201, 0.0]Mag:[-13.887024, 36.280823, -55.163574]Pre:nullrot:[0.17236353, 0.011935817, -0.16163705, 0.97160786, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3123311532974Acc:[-0.72454834, 3.3554688, 9.161407]Gyro:[-0.0048065186, -0.0015106201, 0.0]Mag:[-13.887024, 36.280823, -55.163574]Pre:nullrot:[0.17377332, 0.008631829, -0.15827756, 0.9719447, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3123311532974Acc:[-0.72454834, 3.3554688, 9.161407]Gyro:[-0.0048065186, -0.0015106201, 0.0]Mag:[-13.887024, 36.58142, -55.163574]Pre:nullrot:[0.17377332, 0.008631829, -0.15827756, 0.9719447, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3123311532974Acc:[-0.72454834, 3.3554688, 9.161407]Gyro:[-0.0053100586, -0.0013885498, 1.5258789E-4]Mag:[-13.887024, 36.58142, -55.163574]Pre:nullrot:[0.17377332, 0.008631829, -0.15827756, 0.9719447, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3123360116959Acc:[-0.8490448, 3.408142, 9.161407]Gyro:[-0.0053100586, -0.0013885498, 1.5258789E-4]Mag:[-13.887024, 36.58142, -55.163574]Pre:nullrot:[0.17377332, 0.008631829, -0.15827756, 0.9719447, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
