time:789129340295802Acc:nullGyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789160878564845Acc:[0.68803406, 5.309143, 8.031357]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789160942316065Acc:[0.53001404, 5.1223907, 8.864532]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789161006128321Acc:[0.90830994, 4.782425, 8.687363]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789161069940577Acc:[0.7885895, 5.0026855, 8.428787]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789161134149562Acc:[0.8699951, 4.8255157, 8.845383]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789161197534571Acc:[0.52523804, 5.404907, 8.572433]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789161195734034Acc:[0.52523804, 5.404907, 8.572433]Gyro:nullMag:[-45.462036, 35.83069, -33.189392]Pre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789162664753023Acc:[0.07032776, 5.6874237, 7.94516]Gyro:[0.027297974, 0.029052734, 0.006668091]Mag:[-39.46228, 31.106567, -46.014404]Pre:nullrot:[0.30771676, -0.1019502, -0.32284144, 0.8892075, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789162728138033Acc:[0.59706116, 5.2277374, 8.227676]Gyro:[0.027297974, 0.029052734, 0.006668091]Mag:[-39.46228, 31.106567, -46.014404]Pre:nullrot:[0.30771676, -0.1019502, -0.32284144, 0.8892075, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789162792194430Acc:[0.5491791, 5.285202, 8.170212]Gyro:[0.027297974, 0.029052734, 0.006668091]Mag:[-39.46228, 31.106567, -46.014404]Pre:nullrot:[0.30771676, -0.1019502, -0.32284144, 0.8892075, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789162807056490Acc:[0.5491791, 5.285202, 8.170212]Gyro:[0.027297974, 0.029052734, 0.006668091]Mag:[-38.487244, 31.855774, -46.014404]Pre:nullrot:[0.30771676, -0.1019502, -0.32284144, 0.8892075, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789162807056490Acc:[0.5491791, 5.285202, 8.170212]Gyro:[0.027297974, 0.029052734, 0.006668091]Mag:[-38.487244, 31.855774, -46.014404]Pre:nullrot:[0.31633693, -0.093929134, -0.3260493, 0.8858895, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789162807056490Acc:[0.5491791, 5.285202, 8.170212]Gyro:[0.03366089, 0.030975342, 0.010131836]Mag:[-38.487244, 31.855774, -46.014404]Pre:nullrot:[0.31633693, -0.093929134, -0.3260493, 0.8858895, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789162856128756Acc:[0.39595032, 5.328293, 8.208527]Gyro:[0.03366089, 0.030975342, 0.010131836]Mag:[-38.487244, 31.855774, -46.014404]Pre:nullrot:[0.31633693, -0.093929134, -0.3260493, 0.8858895, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789162919910494Acc:[0.3241272, 5.357025, 8.2612]Gyro:[0.03366089, 0.030975342, 0.010131836]Mag:[-38.487244, 31.855774, -46.014404]Pre:nullrot:[0.31633693, -0.093929134, -0.3260493, 0.8858895, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789162984394137Acc:[0.3863678, 5.242111, 8.323441]Gyro:[0.03366089, 0.030975342, 0.010131836]Mag:[-38.487244, 31.855774, -46.014404]Pre:nullrot:[0.31633693, -0.093929134, -0.3260493, 0.8858895, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789163008503023Acc:[0.3863678, 5.242111, 8.323441]Gyro:[0.03366089, 0.030975342, 0.010131836]Mag:[-39.46228, 32.23114, -46.23871]Pre:nullrot:[0.31633693, -0.093929134, -0.3260493, 0.8858895, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
