time:790026173115690Acc:[0.82211304, 4.1407776, 8.423996]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:null
time:789900136840266Acc:[0.82211304, 4.1407776, 8.423996]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790026237670345Acc:[0.0894928, 4.2365417, 9.089584]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790026301421565Acc:[0.4151001, 4.0928955, 8.701721]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790026365203304Acc:[0.2953949, 4.265274, 8.85495]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790026428954524Acc:[0.28581238, 4.193451, 8.883682]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790026492705745Acc:[0.23313904, 4.1599274, 8.921997]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790026478942317Acc:[0.23313904, 4.1599274, 8.921997]Gyro:nullMag:[-42.762756, 42.356873, -52.464294]Pre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790028090270442Acc:[-0.73890686, 4.0881042, 8.85495]Gyro:[0.04333496, 0.006378174, 0.03413391]Mag:[-35.487366, 36.35559, -52.91443]Pre:nullrot:[0.22186045, -0.063687384, -0.28204358, 0.93122137, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790028150206966Acc:[0.13737488, 4.4376526, 7.653061]Gyro:[0.04333496, 0.006378174, 0.03413391]Mag:[-35.487366, 36.35559, -52.91443]Pre:nullrot:[0.22186045, -0.063687384, -0.28204358, 0.93122137, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790028213897151Acc:[1.4685516, 5.017044, 8.716095]Gyro:[0.04333496, 0.006378174, 0.03413391]Mag:[-35.487366, 36.35559, -52.91443]Pre:nullrot:[0.22186045, -0.063687384, -0.28204358, 0.93122137, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790028278441829Acc:[2.3975067, 5.108032, 8.409637]Gyro:[0.04333496, 0.006378174, 0.03413391]Mag:[-35.487366, 36.35559, -52.91443]Pre:nullrot:[0.22186045, -0.063687384, -0.28204358, 0.93122137, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790028291686458Acc:[2.3975067, 5.108032, 8.409637]Gyro:[0.04333496, 0.006378174, 0.03413391]Mag:[-35.487366, 36.35559, -52.91443]Pre:nullrot:[0.22350638, -0.06257265, -0.2826268, 0.9307264, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790028291686458Acc:[2.3975067, 5.108032, 8.409637]Gyro:[0.04333496, 0.006378174, 0.03413391]Mag:[-37.586975, 34.407043, -52.764893]Pre:nullrot:[0.22350638, -0.06257265, -0.2826268, 0.9307264, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790028291686458Acc:[2.3975067, 5.108032, 8.409637]Gyro:[0.04374695, 0.0059814453, 0.029830933]Mag:[-37.586975, 34.407043, -52.764893]Pre:nullrot:[0.22350638, -0.06257265, -0.2826268, 0.9307264, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790028341430110Acc:[1.2387085, 4.418503, 8.692154]Gyro:[0.04374695, 0.0059814453, 0.029830933]Mag:[-37.586975, 34.407043, -52.764893]Pre:nullrot:[0.22350638, -0.06257265, -0.2826268, 0.9307264, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790028405211848Acc:[0.5779114, 4.4328766, 8.409637]Gyro:[0.04374695, 0.0059814453, 0.029830933]Mag:[-37.586975, 34.407043, -52.764893]Pre:nullrot:[0.22350638, -0.06257265, -0.2826268, 0.9307264, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790028468963069Acc:[0.39115906, 4.361038, 9.008179]Gyro:[0.04374695, 0.0059814453, 0.029830933]Mag:[-37.586975, 34.407043, -52.764893]Pre:nullrot:[0.22350638, -0.06257265, -0.2826268, 0.9307264, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790028493132991Acc:[0.39115906, 4.361038, 9.008179]Gyro:[0.04374695, 0.0059814453, 0.029830933]Mag:[-38.03711, 35.681152, -52.615356]Pre:nullrot:[0.22350638, -0.06257265, -0.2826268, 0.9307264, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790028493132991Acc:[0.39115906, 4.361038, 9.008179]Gyro:[0.04374695, 0.0059814453, 0.029830933]Mag:[-38.03711, 35.681152, -52.615356]Pre:nullrot:[0.2220738, -0.11535734, -0.24663585, 0.93624073, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790028493132991Acc:[0.39115906, 4.361038, 9.008179]Gyro:[0.04437256, 0.004043579, 0.027694702]Mag:[-38.03711, 35.681152, -52.615356]Pre:nullrot:[0.2220738, -0.11535734, -0.24663585, 0.93624073, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790028532714290Acc:[0.33369446, 4.303589, 8.941147]Gyro:[0.04437256, 0.004043579, 0.027694702]Mag:[-38.03711, 35.681152, -52.615356]Pre:nullrot:[0.2220738, -0.11535734, -0.24663585, 0.93624073, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
