time:790281424040770Acc:nullGyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790409973692870Acc:[0.5443878, 4.6435547, 8.634689]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790410037627196Acc:[0.39115906, 4.76326, 8.313873]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790410100829100Acc:[0.27622986, 4.686661, 8.4335785]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790410165099120Acc:[-0.039794922, 4.4137115, 8.878906]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790410228880858Acc:[-0.087677, 4.380188, 8.921997]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790410292632079Acc:[-0.011062622, 4.552582, 8.510193]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790410277190184Acc:[-0.011062622, 4.552582, 8.510193]Gyro:nullMag:[-39.76288, 31.256104, -50.590515]Pre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790411485564208Acc:[-1.2656403, 5.4240723, 7.906845]Gyro:[-0.006515503, 0.016082764, 0.0047912598]Mag:[-36.462402, 35.75592, -49.16382]Pre:nullrot:[0.23720935, -0.06328235, -0.3029128, 0.9208534, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790411485564208Acc:[-1.2656403, 5.4240723, 7.906845]Gyro:[-0.0037384033, 0.028793335, 0.0017547607]Mag:[-36.462402, 35.75592, -49.16382]Pre:nullrot:[0.23720935, -0.06328235, -0.3029128, 0.9208534, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790411485564208Acc:[-1.2656403, 5.4240723, 7.906845]Gyro:[-0.0037384033, 0.028793335, 0.0017547607]Mag:[-34.736633, 35.231018, -49.16382]Pre:nullrot:[0.23720935, -0.06328235, -0.3029128, 0.9208534, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790411567839598Acc:[-1.12677, 5.510254, 7.4567413]Gyro:[-0.0037384033, 0.028793335, 0.0017547607]Mag:[-34.736633, 35.231018, -49.16382]Pre:nullrot:[0.23720935, -0.06328235, -0.3029128, 0.9208534, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790411631590819Acc:[-1.0453644, 5.3187256, 8.404846]Gyro:[-0.0037384033, 0.028793335, 0.0017547607]Mag:[-34.736633, 35.231018, -49.16382]Pre:nullrot:[0.23720935, -0.06328235, -0.3029128, 0.9208534, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790411695342040Acc:[-1.0597382, 5.2564697, 8.079239]Gyro:[-0.0037384033, 0.028793335, 0.0017547607]Mag:[-34.736633, 35.231018, -49.16382]Pre:nullrot:[0.23720935, -0.06328235, -0.3029128, 0.9208534, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790411687071776Acc:[-1.0597382, 5.2564697, 8.079239]Gyro:[-0.0037384033, 0.028793335, 0.0017547607]Mag:[-34.736633, 35.231018, -49.16382]Pre:nullrot:[0.27469596, -0.038723826, -0.3125256, 0.90849894, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790411687071776Acc:[-1.0597382, 5.2564697, 8.079239]Gyro:[-0.0037384033, 0.028793335, 0.0017547607]Mag:[-31.96106, 34.48181, -48.789978]Pre:nullrot:[0.27469596, -0.038723826, -0.3125256, 0.90849894, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790411687071776Acc:[-1.0597382, 5.2564697, 8.079239]Gyro:[-0.0016937256, 0.042175293, -0.003540039]Mag:[-31.96106, 34.48181, -48.789978]Pre:nullrot:[0.27469596, -0.038723826, -0.3125256, 0.90849894, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790411759093260Acc:[-1.0788879, 5.0745087, 8.51976]Gyro:[-0.0016937256, 0.042175293, -0.003540039]Mag:[-31.96106, 34.48181, -48.789978]Pre:nullrot:[0.27469596, -0.038723826, -0.3125256, 0.90849894, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
