time:787979760186076Acc:[1.6026306, 4.8207245, 7.4567413]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:null
time:786650109679038Acc:[1.6026306, 4.8207245, 7.4567413]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787979824705893Acc:[0.73114014, 4.562149, 8.99382]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787979888426596Acc:[0.38157654, 4.5094757, 9.36731]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787979952086264Acc:[0.64494324, 4.3658295, 8.845383]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787980015806968Acc:[0.56832886, 4.447235, 8.701721]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787980079558188Acc:[0.5731201, 4.418503, 8.491043]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787980092284018Acc:[0.5731201, 4.418503, 8.491043]Gyro:nullMag:[-39.53705, 33.73108, -47.06421]Pre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787981300719077Acc:[0.16610718, 5.199005, 8.270767]Gyro:[-9.765625E-4, -0.018295288, 0.014511108]Mag:[-38.412476, 32.83081, -47.213745]Pre:nullrot:[0.22233663, -0.10033623, -0.28516972, 0.92691815, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787981300719077Acc:[0.16610718, 5.199005, 8.270767]Gyro:[0.0014953613, -0.025344849, 0.014404297]Mag:[-38.412476, 32.83081, -47.213745]Pre:nullrot:[0.22233663, -0.10033623, -0.28516972, 0.92691815, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787981300719077Acc:[0.16610718, 5.199005, 8.270767]Gyro:[0.0014953613, -0.025344849, 0.014404297]Mag:[-38.412476, 32.83081, -47.213745]Pre:nullrot:[0.2310218, -0.09675064, -0.28670594, 0.9246988, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787981353819663Acc:[0.2666626, 4.9739532, 8.452728]Gyro:[0.0014953613, -0.025344849, 0.014404297]Mag:[-38.412476, 32.83081, -47.213745]Pre:nullrot:[0.2310218, -0.09675064, -0.28670594, 0.9246988, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787981417540366Acc:[0.24272156, 4.9595947, 8.582016]Gyro:[0.0014953613, -0.025344849, 0.014404297]Mag:[-38.412476, 32.83081, -47.213745]Pre:nullrot:[0.2310218, -0.09675064, -0.28670594, 0.9246988, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787981481261069Acc:[0.3576355, 4.9787445, 8.352173]Gyro:[0.0014953613, -0.025344849, 0.014404297]Mag:[-38.412476, 32.83081, -47.213745]Pre:nullrot:[0.2310218, -0.09675064, -0.28670594, 0.9246988, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787981502135093Acc:[0.3576355, 4.9787445, 8.352173]Gyro:[0.0014953613, -0.025344849, 0.014404297]Mag:[-38.412476, 32.83081, -47.213745]Pre:nullrot:[0.24505213, -0.09281247, -0.28786737, 0.921123, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787981502135093Acc:[0.3576355, 4.9787445, 8.352173]Gyro:[0.005630493, -0.030761719, 0.009933472]Mag:[-38.412476, 32.83081, -47.213745]Pre:nullrot:[0.24505213, -0.09281247, -0.28786737, 0.921123, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787981502135093Acc:[0.3576355, 4.9787445, 8.352173]Gyro:[0.005630493, -0.030761719, 0.009933472]Mag:[-37.586975, 32.30591, -46.914673]Pre:nullrot:[0.24505213, -0.09281247, -0.28786737, 0.921123, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787981544951255Acc:[0.36242676, 4.9739532, 8.50061]Gyro:[0.005630493, -0.030761719, 0.009933472]Mag:[-37.586975, 32.30591, -46.914673]Pre:nullrot:[0.24505213, -0.09281247, -0.28786737, 0.921123, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
