time:789679029694623Acc:nullGyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789717613434857Acc:[2.3113098, 6.6786194, 6.2787933]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789717677216595Acc:[2.2107544, 6.645111, 6.7576294]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789717740967816Acc:[2.158081, 6.716934, 6.8725586]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789717804810589Acc:[2.0718842, 6.7073517, 7.0497284]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789717868592328Acc:[2.1293488, 6.6594696, 6.6858063]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789717931824750Acc:[1.9904785, 6.6067963, 6.9443817]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789717909302777Acc:[1.9904785, 6.6067963, 6.9443817]Gyro:nullMag:[-40.512085, 21.731567, -46.614075]Pre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789719119141644Acc:[1.7750092, 6.3338623, 7.289139]Gyro:[0.063308716, -0.00340271, -0.013763428]Mag:[-35.487366, 18.881226, -46.089172]Pre:nullrot:[0.31665355, -0.19092682, -0.27196196, 0.8884336, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789719119141644Acc:[1.7750092, 6.3338623, 7.289139]Gyro:[0.063308716, -0.00340271, -0.013763428]Mag:[-35.71167, 18.881226, -46.38977]Pre:nullrot:[0.31665355, -0.19092682, -0.27196196, 0.8884336, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789719119141644Acc:[1.7750092, 6.3338623, 7.289139]Gyro:[0.0730896, -0.001449585, -0.01902771]Mag:[-35.71167, 18.881226, -46.38977]Pre:nullrot:[0.31665355, -0.19092682, -0.27196196, 0.8884336, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789719208283490Acc:[1.8181, 6.353012, 7.250839]Gyro:[0.0730896, -0.001449585, -0.01902771]Mag:[-35.71167, 18.881226, -46.38977]Pre:nullrot:[0.31665355, -0.19092682, -0.27196196, 0.8884336, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789719272065228Acc:[2.0192108, 6.30513, 7.2173157]Gyro:[0.0730896, -0.001449585, -0.01902771]Mag:[-35.71167, 18.881226, -46.38977]Pre:nullrot:[0.31665355, -0.19092682, -0.27196196, 0.8884336, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789719335877484Acc:[2.1054077, 6.343445, 7.1407013]Gyro:[0.0730896, -0.001449585, -0.01902771]Mag:[-35.71167, 18.881226, -46.38977]Pre:nullrot:[0.31665355, -0.19092682, -0.27196196, 0.8884336, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789719319550580Acc:[2.1054077, 6.343445, 7.1407013]Gyro:[0.0730896, -0.001449585, -0.01902771]Mag:[-35.71167, 18.881226, -46.38977]Pre:nullrot:[0.30809087, -0.19149797, -0.27202877, 0.8912962, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789719319550580Acc:[2.1054077, 6.343445, 7.1407013]Gyro:[0.0730896, -0.001449585, -0.01902771]Mag:[-36.312866, 19.10553, -46.614075]Pre:nullrot:[0.30809087, -0.19149797, -0.27202877, 0.8912962, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789719319550580Acc:[2.1054077, 6.343445, 7.1407013]Gyro:[0.078201294, -0.0015411377, -0.023925781]Mag:[-36.312866, 19.10553, -46.614075]Pre:nullrot:[0.30809087, -0.19149797, -0.27202877, 0.8912962, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789719399720257Acc:[2.0814667, 6.376953, 6.7767944]Gyro:[0.078201294, -0.0015411377, -0.023925781]Mag:[-36.312866, 19.10553, -46.614075]Pre:nullrot:[0.30809087, -0.19149797, -0.27202877, 0.8912962, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
