time:790259264655678Acc:[0.7359314, 5.012268, 8.1414795]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:null
time:790047673356162Acc:[0.7359314, 5.012268, 8.1414795]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790259328751670Acc:[0.6497345, 4.9787445, 8.65863]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790259392533409Acc:[0.7263489, 4.926071, 8.414429]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790259456254112Acc:[0.45819092, 5.141556, 8.333023]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790259519974815Acc:[0.5443878, 5.0026855, 8.352173]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790259583756553Acc:[0.33369446, 5.1176147, 8.380905]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790259617966758Acc:[0.33369446, 5.1176147, 8.380905]Gyro:nullMag:nullPre:nullrot:[0.23457617, -0.124451645, -0.3411449, 0.90172386, 0.0]Mot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790260826462852Acc:[0.2379303, 5.189438, 8.309082]Gyro:[0.04547119, 0.08128357, -0.08139038]Mag:[-40.586853, 31.330872, -35.96344]Pre:nullrot:[0.25634795, -0.10625058, -0.345791, 0.89633983, 0.0]Mot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790260826462852Acc:[0.2379303, 5.189438, 8.309082]Gyro:[0.04547119, 0.08128357, -0.08139038]Mag:[-39.987183, 31.330872, -35.96344]Pre:nullrot:[0.25634795, -0.10625058, -0.345791, 0.89633983, 0.0]Mot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790260826462852Acc:[0.2379303, 5.189438, 8.309082]Gyro:[0.05000305, 0.08929443, -0.09239197]Mag:[-39.987183, 31.330872, -35.96344]Pre:nullrot:[0.25634795, -0.10625058, -0.345791, 0.89633983, 0.0]Mot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790260858597862Acc:[0.28581238, 5.1798553, 8.361755]Gyro:[0.05000305, 0.08929443, -0.09239197]Mag:[-39.987183, 31.330872, -35.96344]Pre:nullrot:[0.25634795, -0.10625058, -0.345791, 0.89633983, 0.0]Mot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790260922349082Acc:[0.3001709, 5.165497, 8.294708]Gyro:[0.05000305, 0.08929443, -0.09239197]Mag:[-39.987183, 31.330872, -35.96344]Pre:nullrot:[0.25634795, -0.10625058, -0.345791, 0.89633983, 0.0]Mot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790260986100303Acc:[0.28102112, 5.175064, 8.309082]Gyro:[0.05000305, 0.08929443, -0.09239197]Mag:[-39.987183, 31.330872, -35.96344]Pre:nullrot:[0.25634795, -0.10625058, -0.345791, 0.89633983, 0.0]Mot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790261050004112Acc:[0.27624512, 5.1846466, 8.289932]Gyro:[0.05000305, 0.08929443, -0.09239197]Mag:[-39.987183, 31.330872, -35.96344]Pre:nullrot:[0.25634795, -0.10625058, -0.345791, 0.89633983, 0.0]Mot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790261027543174Acc:[0.27624512, 5.1846466, 8.289932]Gyro:[0.05000305, 0.08929443, -0.09239197]Mag:[-39.987183, 31.330872, -35.96344]Pre:nullrot:[0.2550528, -0.10811542, -0.3449038, 0.896828, 0.0]Mot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790261027543174Acc:[0.27624512, 5.1846466, 8.289932]Gyro:[0.05000305, 0.08929443, -0.09239197]Mag:[-39.83612, 31.181335, -35.96344]Pre:nullrot:[0.2550528, -0.10811542, -0.3449038, 0.896828, 0.0]Mot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790261027543174Acc:[0.27624512, 5.1846466, 8.289932]Gyro:[0.06539917, 0.11312866, -0.120773315]Mag:[-39.83612, 31.181335, -35.96344]Pre:nullrot:[0.2550528, -0.10811542, -0.3449038, 0.896828, 0.0]Mot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790261113602744Acc:[0.209198, 5.2516785, 8.088806]Gyro:[0.06539917, 0.11312866, -0.120773315]Mag:[-39.83612, 31.181335, -35.96344]Pre:nullrot:[0.2550528, -0.10811542, -0.3449038, 0.896828, 0.0]Mot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790261177292930Acc:[0.3863678, 5.012268, 8.706512]Gyro:[0.06539917, 0.11312866, -0.120773315]Mag:[-39.83612, 31.181335, -35.96344]Pre:nullrot:[0.2550528, -0.10811542, -0.3449038, 0.896828, 0.0]Mot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790261241105186Acc:[0.22834778, 5.2899933, 8.117538]Gyro:[0.06539917, 0.11312866, -0.120773315]Mag:[-39.83612, 31.181335, -35.96344]Pre:nullrot:[0.2550528, -0.10811542, -0.3449038, 0.896828, 0.0]Mot:nullprox:[5.000305, 3.2043457E-4, 0.0]
