time:241671152064Acc:nullGyro:nullMag:nullPre:nullrot:nullMot:nullprox:[8.0]
time:241716925449Acc:nullGyro:nullMag:nullPre:[990.021]rot:nullMot:nullprox:[8.0]
time:241668708522Acc:[0.4747498, 3.613892, 8.8201]Gyro:nullMag:nullPre:[990.021]rot:nullMot:nullprox:[8.0]
time:243438178678Acc:[0.1987102, 4.066616, 8.825127]Gyro:[-0.048361734, -0.07696866, -0.0512553]Mag:[18.691921, -13.125451, -134.82135]Pre:[989.9863]rot:[0.19700572, 0.044876203, 0.27927977, 0.93871063, 0.0]Mot:nullprox:[8.0]
time:243756500501Acc:[0.1987102, 4.066616, 8.825127]Gyro:[-0.048361734, -0.07696866, -0.0512553]Mag:[18.181713, -11.942707, -134.21738]Pre:[989.9863]rot:[0.19700572, 0.044876203, 0.27927977, 0.93871063, 0.0]Mot:nullprox:[8.0]
time:243816925449Acc:[0.1987102, 4.066616, 8.825127]Gyro:[-0.048361734, -0.07696866, -0.0512553]Mag:[18.181713, -11.942707, -134.21738]Pre:[989.99585]rot:[0.19700572, 0.044876203, 0.27927977, 0.93871063, 0.0]Mot:nullprox:[8.0]
time:243795939980Acc:[0.38832283, 3.961515, 8.9252]Gyro:[-0.048361734, -0.07696866, -0.0512553]Mag:[18.181713, -11.942707, -134.21738]Pre:[989.99585]rot:[0.19700572, 0.044876203, 0.27927977, 0.93871063, 0.0]Mot:nullprox:[8.0]
time:243916925449Acc:[0.38832283, 3.961515, 8.9252]Gyro:[-0.048361734, -0.07696866, -0.0512553]Mag:[18.181713, -11.942707, -134.21738]Pre:[989.9939]rot:[0.19700572, 0.044876203, 0.27927977, 0.93871063, 0.0]Mot:nullprox:[8.0]
time:243824948053Acc:[0.38832283, 3.961515, 8.9252]Gyro:[-0.15062049, -0.025167339, -0.11576263]Mag:[18.181713, -11.942707, -134.21738]Pre:[989.9939]rot:[0.19700572, 0.044876203, 0.27927977, 0.93871063, 0.0]Mot:nullprox:[8.0]
time:243631562585Acc:[0.38832283, 3.961515, 8.9252]Gyro:[-0.15062049, -0.025167339, -0.11576263]Mag:[18.181713, -11.942707, -134.21738]Pre:[989.9939]rot:[0.202091, 0.038240355, 0.25694287, 0.94428664, 0.0]Mot:nullprox:[8.0]
time:243956500501Acc:[0.38832283, 3.961515, 8.9252]Gyro:[-0.15062049, -0.025167339, -0.11576263]Mag:[17.435589, -10.994085, -134.43546]Pre:[989.9939]rot:[0.202091, 0.038240355, 0.25694287, 0.94428664, 0.0]Mot:nullprox:[8.0]
time:244016925449Acc:[0.38832283, 3.961515, 8.9252]Gyro:[-0.15062049, -0.025167339, -0.11576263]Mag:[17.435589, -10.994085, -134.43546]Pre:[989.9951]rot:[0.202091, 0.038240355, 0.25694287, 0.94428664, 0.0]Mot:nullprox:[8.0]
time:243989324668Acc:[0.1410124, 3.5913875, 9.172032]Gyro:[-0.15062049, -0.025167339, -0.11576263]Mag:[17.435589, -10.994085, -134.43546]Pre:[989.9951]rot:[0.202091, 0.038240355, 0.25694287, 0.94428664, 0.0]Mot:nullprox:[8.0]
time:244116925449Acc:[0.1410124, 3.5913875, 9.172032]Gyro:[-0.15062049, -0.025167339, -0.11576263]Mag:[17.435589, -10.994085, -134.43546]Pre:[989.98535]rot:[0.202091, 0.038240355, 0.25694287, 0.94428664, 0.0]Mot:nullprox:[8.0]
time:244018331960Acc:[0.1410124, 3.5913875, 9.172032]Gyro:[-0.10266761, -0.043798715, -0.029997215]Mag:[17.435589, -10.994085, -134.43546]Pre:[989.98535]rot:[0.202091, 0.038240355, 0.25694287, 0.94428664, 0.0]Mot:nullprox:[8.0]
time:243824948053Acc:[0.1410124, 3.5913875, 9.172032]Gyro:[-0.10266761, -0.043798715, -0.029997215]Mag:[17.435589, -10.994085, -134.43546]Pre:[989.98535]rot:[0.19555746, 0.034562405, 0.23636164, 0.951155, 0.0]Mot:nullprox:[8.0]
time:244156500501Acc:[0.1410124, 3.5913875, 9.172032]Gyro:[-0.10266761, -0.043798715, -0.029997215]Mag:[17.445557, -9.880313, -134.66661]Pre:[989.98535]rot:[0.19555746, 0.034562405, 0.23636164, 0.951155, 0.0]Mot:nullprox:[8.0]
time:244216925449Acc:[0.1410124, 3.5913875, 9.172032]Gyro:[-0.10266761, -0.043798715, -0.029997215]Mag:[17.445557, -9.880313, -134.66661]Pre:[989.9949]rot:[0.19555746, 0.034562405, 0.23636164, 0.951155, 0.0]Mot:nullprox:[8.0]
time:244182709303Acc:[0.32631564, 3.719951, 9.025752]Gyro:[-0.10266761, -0.043798715, -0.029997215]Mag:[17.445557, -9.880313, -134.66661]Pre:[989.9949]rot:[0.19555746, 0.034562405, 0.23636164, 0.951155, 0.0]Mot:nullprox:[8.0]
time:244316925449Acc:[0.32631564, 3.719951, 9.025752]Gyro:[-0.10266761, -0.043798715, -0.029997215]Mag:[17.445557, -9.880313, -134.66661]Pre:[989.99243]rot:[0.19555746, 0.034562405, 0.23636164, 0.951155, 0.0]Mot:nullprox:[8.0]
time:244211717376Acc:[0.32631564, 3.719951, 9.025752]Gyro:[0.3222499, 0.21923962, -0.057241783]Mag:[17.445557, -9.880313, -134.66661]Pre:[989.99243]rot:[0.19555746, 0.034562405, 0.23636164, 0.951155, 0.0]Mot:nullprox:[8.0]
time:244018331960Acc:[0.32631564, 3.719951, 9.025752]Gyro:[0.3222499, 0.21923962, -0.057241783]Mag:[17.445557, -9.880313, -134.66661]Pre:[989.99243]rot:[0.19194457, 0.028255207, 0.22969773, 0.95372844, 0.0]Mot:nullprox:[8.0]
time:244356500501Acc:[0.32631564, 3.719951, 9.025752]Gyro:[0.3222499, 0.21923962, -0.057241783]Mag:[18.031523, -11.576956, -134.59265]Pre:[989.99243]rot:[0.19194457, 0.028255207, 0.22969773, 0.95372844, 0.0]Mot:nullprox:[8.0]
time:244416925449Acc:[0.32631564, 3.719951, 9.025752]Gyro:[0.3222499, 0.21923962, -0.057241783]Mag:[18.031523, -11.576956, -134.59265]Pre:[989.9829]rot:[0.19194457, 0.028255207, 0.22969773, 0.95372844, 0.0]Mot:nullprox:[8.0]
time:244376093939Acc:[0.104622126, 4.424534, 8.305368]Gyro:[0.3222499, 0.21923962, -0.057241783]Mag:[18.031523, -11.576956, -134.59265]Pre:[989.9829]rot:[0.19194457, 0.028255207, 0.22969773, 0.95372844, 0.0]Mot:nullprox:[8.0]
time:244405101230Acc:[0.104622126, 4.424534, 8.305368]Gyro:[0.4884662, 0.14465307, 0.61556464]Mag:[18.031523, -11.576956, -134.59265]Pre:[989.9829]rot:[0.19194457, 0.028255207, 0.22969773, 0.95372844, 0.0]Mot:nullprox:[8.0]
time:244211717376Acc:[0.104622126, 4.424534, 8.305368]Gyro:[0.4884662, 0.14465307, 0.61556464]Mag:[18.031523, -11.576956, -134.59265]Pre:[989.9829]rot:[0.20288992, 0.05620503, 0.24891806, 0.9453658, 0.0]Mot:nullprox:[8.0]
time:244516925449Acc:[0.104622126, 4.424534, 8.305368]Gyro:[0.4884662, 0.14465307, 0.61556464]Mag:[18.031523, -11.576956, -134.59265]Pre:[989.98486]rot:[0.20288992, 0.05620503, 0.24891806, 0.9453658, 0.0]Mot:nullprox:[8.0]
time:244556500501Acc:[0.104622126, 4.424534, 8.305368]Gyro:[0.4884662, 0.14465307, 0.61556464]Mag:[20.765446, -17.460188, -133.93161]Pre:[989.98486]rot:[0.20288992, 0.05620503, 0.24891806, 0.9453658, 0.0]Mot:nullprox:[8.0]
