time:790643479104174Acc:[0.7359314, 7.870941, 5.3546295]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:null
time:790281424020606Acc:[0.7359314, 7.870941, 5.3546295]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790643542795020Acc:[0.45819092, 8.076843, 5.431244]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790643606271583Acc:[0.67367554, 7.8565826, 5.7999573]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790643670846778Acc:[0.6880493, 7.8996735, 5.6515045]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790643734628516Acc:[0.71676636, 7.9188232, 5.5605316]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790643798410255Acc:[0.6688843, 7.957138, 5.550949]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790643819009620Acc:[0.6688843, 7.957138, 5.550949]Gyro:[-0.007461548, -0.0025939941, 0.007080078]Mag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790645328958350Acc:[0.6305847, 7.957138, 5.565323]Gyro:[0.023712158, 0.010360718, -0.016189575]Mag:[-30.236816, 12.956238, -39.413452]Pre:nullrot:[0.42654228, -0.17729662, -0.26862773, 0.84526134, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790645392709571Acc:[0.62579346, 7.9619293, 5.656296]Gyro:[0.023712158, 0.010360718, -0.016189575]Mag:[-30.236816, 12.956238, -39.413452]Pre:nullrot:[0.42654228, -0.17729662, -0.26862773, 0.84526134, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790645455941993Acc:[0.71676636, 7.9044647, 5.5796814]Gyro:[0.023712158, 0.010360718, -0.016189575]Mag:[-30.236816, 12.956238, -39.413452]Pre:nullrot:[0.42654228, -0.17729662, -0.26862773, 0.84526134, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790645431100684Acc:[0.71676636, 7.9044647, 5.5796814]Gyro:[0.023712158, 0.010360718, -0.016189575]Mag:[-28.886414, 12.580872, -39.413452]Pre:nullrot:[0.42654228, -0.17729662, -0.26862773, 0.84526134, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790645431100684Acc:[0.71676636, 7.9044647, 5.5796814]Gyro:[0.029449463, 0.008834839, -0.018798828]Mag:[-28.886414, 12.580872, -39.413452]Pre:nullrot:[0.42654228, -0.17729662, -0.26862773, 0.84526134, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790645431100684Acc:[0.71676636, 7.9044647, 5.5796814]Gyro:[0.029449463, 0.008834839, -0.018798828]Mag:[-28.886414, 12.580872, -39.413452]Pre:nullrot:[0.42664662, -0.17694895, -0.26887503, 0.8452029, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790645520273048Acc:[0.6976166, 7.981079, 5.527008]Gyro:[0.029449463, 0.008834839, -0.018798828]Mag:[-28.886414, 12.580872, -39.413452]Pre:nullrot:[0.42664662, -0.17694895, -0.26887503, 0.8452029, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790645583993751Acc:[0.7263489, 7.890106, 5.675461]Gyro:[0.029449463, 0.008834839, -0.018798828]Mag:[-28.886414, 12.580872, -39.413452]Pre:nullrot:[0.42664662, -0.17694895, -0.26887503, 0.8452029, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790645647775489Acc:[0.6928253, 7.890091, 5.6275635]Gyro:[0.029449463, 0.008834839, -0.018798828]Mag:[-28.886414, 12.580872, -39.413452]Pre:nullrot:[0.42664662, -0.17694895, -0.26887503, 0.8452029, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790645631753760Acc:[0.6928253, 7.890091, 5.6275635]Gyro:[0.029449463, 0.008834839, -0.018798828]Mag:[-30.010986, 12.356567, -39.564514]Pre:nullrot:[0.42664662, -0.17694895, -0.26887503, 0.8452029, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790645631753760Acc:[0.6928253, 7.890091, 5.6275635]Gyro:[0.029449463, 0.008834839, -0.018798828]Mag:[-30.010986, 12.356567, -39.564514]Pre:nullrot:[0.42652795, -0.17639573, -0.2692936, 0.8452452, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
