time:790526880849276Acc:[-1.9120636, 5.9029083, 7.6387024]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:null
time:790281424032740Acc:[-1.9120636, 5.9029083, 7.6387024]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790526945425562Acc:[-2.2855682, 5.462372, 7.7823486]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790527009146266Acc:[-2.3478088, 4.897339, 7.0353546]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790527072897486Acc:[-2.9703064, 4.1886597, 8.969879]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790527136648707Acc:[-3.080429, 4.0737457, 8.0026245]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790527200430445Acc:[-0.3510437, 4.2461243, 9.946701]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790527199148707Acc:[-0.3510437, 4.2461243, 9.946701]Gyro:[0.014083862, 0.012832642, 0.0032653809]Mag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790529011923365Acc:[-1.3231049, 6.257248, 7.126343]Gyro:[-0.001876831, 0.025527954, 0.02973938]Mag:[-29.486084, 27.281189, -48.41461]Pre:nullrot:[0.35181904, -0.009313576, -0.24777028, 0.9026331, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790529049398951Acc:[-1.8067169, 6.760025, 6.9204407]Gyro:[-0.001876831, 0.025527954, 0.02973938]Mag:[-29.486084, 27.281189, -48.41461]Pre:nullrot:[0.35181904, -0.009313576, -0.24777028, 0.9026331, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790529113150172Acc:[-2.2520447, 7.009033, 6.494278]Gyro:[-0.001876831, 0.025527954, 0.02973938]Mag:[-29.486084, 27.281189, -48.41461]Pre:nullrot:[0.35181904, -0.009313576, -0.24777028, 0.9026331, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790529176901392Acc:[-1.9934692, 6.7408752, 7.0497284]Gyro:[-0.001876831, 0.025527954, 0.02973938]Mag:[-29.486084, 27.281189, -48.41461]Pre:nullrot:[0.35181904, -0.009313576, -0.24777028, 0.9026331, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790529213308863Acc:[-1.9934692, 6.7408752, 7.0497284]Gyro:[9.460449E-4, 0.025390625, 0.02885437]Mag:[-29.486084, 27.281189, -48.41461]Pre:nullrot:[0.35181904, -0.009313576, -0.24777028, 0.9026331, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790529213308863Acc:[-1.9934692, 6.7408752, 7.0497284]Gyro:[9.460449E-4, 0.025390625, 0.02885437]Mag:[-29.187012, 26.156616, -47.665405]Pre:nullrot:[0.35181904, -0.009313576, -0.24777028, 0.9026331, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790529213308863Acc:[-1.9934692, 6.7408752, 7.0497284]Gyro:[9.460449E-4, 0.025390625, 0.02885437]Mag:[-29.187012, 26.156616, -47.665405]Pre:nullrot:[0.36845645, -0.009861258, -0.24625807, 0.8963814, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790529239859156Acc:[-1.8785553, 6.6786194, 6.9252167]Gyro:[9.460449E-4, 0.025390625, 0.02885437]Mag:[-29.187012, 26.156616, -47.665405]Pre:nullrot:[0.36845645, -0.009861258, -0.24625807, 0.8963814, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790529304464869Acc:[-1.7923584, 6.4823, 7.068878]Gyro:[9.460449E-4, 0.025390625, 0.02885437]Mag:[-29.187012, 26.156616, -47.665405]Pre:nullrot:[0.36845645, -0.009861258, -0.24625807, 0.8963814, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790529368216090Acc:[-1.7205353, 6.506241, 7.1215515]Gyro:[9.460449E-4, 0.025390625, 0.02885437]Mag:[-29.187012, 26.156616, -47.665405]Pre:nullrot:[0.36845645, -0.009861258, -0.24625807, 0.8963814, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
