time:788813733151533Acc:nullGyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788940913571455Acc:[-2.68779, 2.9436798, 8.912415]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788940976956465Acc:[-2.1036072, 0.108947754, 9.68335]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788941041043379Acc:[-2.1802216, -0.2741394, 12.723984]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788941104794599Acc:[-1.6103973, 0.7266388, 8.936356]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788941168545820Acc:[-1.9599609, 1.4161682, 9.836578]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788941232327558Acc:[-0.82510376, 0.7936859, 8.941147]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788941249478437Acc:[-0.82510376, 0.7936859, 8.941147]Gyro:nullMag:[-38.86261, 57.806396, -49.31488]Pre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788943062189690Acc:[-0.020645142, 2.5510254, 9.352951]Gyro:[0.013076782, 0.058425903, -0.012069702]Mag:[-49.887085, 48.806763, -52.165222]Pre:nullrot:[0.14279817, -0.09168703, -0.2240191, 0.95969665, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788943062189690Acc:[-0.020645142, 2.5510254, 9.352951]Gyro:[0.013076782, 0.058425903, -0.012069702]Mag:[-49.887085, 48.806763, -52.165222]Pre:nullrot:[0.13338238, -0.07074876, -0.23730066, 0.95963126, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788943062189690Acc:[-0.020645142, 2.5510254, 9.352951]Gyro:[0.013076782, 0.058425903, -0.012069702]Mag:[-49.887085, 49.25537, -52.539062]Pre:nullrot:[0.13338238, -0.07074876, -0.23730066, 0.95963126, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788943144983880Acc:[-0.4659729, 2.3738556, 9.458298]Gyro:[0.013076782, 0.058425903, -0.012069702]Mag:[-49.887085, 49.25537, -52.539062]Pre:nullrot:[0.13338238, -0.07074876, -0.23730066, 0.95963126, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788943208704583Acc:[-0.56173706, 2.2876587, 9.621109]Gyro:[0.013076782, 0.058425903, -0.012069702]Mag:[-49.887085, 49.25537, -52.539062]Pre:nullrot:[0.13338238, -0.07074876, -0.23730066, 0.95963126, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788943272455804Acc:[-0.17866516, 2.1248627, 9.482239]Gyro:[0.013076782, 0.058425903, -0.012069702]Mag:[-49.887085, 49.25537, -52.539062]Pre:nullrot:[0.13338238, -0.07074876, -0.23730066, 0.95963126, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788943263636224Acc:[-0.17866516, 2.1248627, 9.482239]Gyro:[0.020706177, 0.059295654, -0.014907837]Mag:[-49.887085, 49.25537, -52.539062]Pre:nullrot:[0.13338238, -0.07074876, -0.23730066, 0.95963126, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788943263636224Acc:[-0.17866516, 2.1248627, 9.482239]Gyro:[0.020706177, 0.059295654, -0.014907837]Mag:[-49.43695, 50.531006, -52.61383]Pre:nullrot:[0.13338238, -0.07074876, -0.23730066, 0.95963126, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788943263636224Acc:[-0.17866516, 2.1248627, 9.482239]Gyro:[0.020706177, 0.059295654, -0.014907837]Mag:[-49.43695, 50.531006, -52.61383]Pre:nullrot:[0.12279893, -0.03196637, -0.26159933, 0.95679903, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788943336237542Acc:[-0.379776, 2.2733002, 9.549271]Gyro:[0.020706177, 0.059295654, -0.014907837]Mag:[-49.43695, 50.531006, -52.61383]Pre:nullrot:[0.12279893, -0.03196637, -0.26159933, 0.95679903, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788943399927727Acc:[-0.4085083, 2.4361115, 9.333801]Gyro:[0.020706177, 0.059295654, -0.014907837]Mag:[-49.43695, 50.531006, -52.61383]Pre:nullrot:[0.12279893, -0.03196637, -0.26159933, 0.95679903, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788943463739983Acc:[-0.829895, 2.3546906, 9.333801]Gyro:[0.020706177, 0.059295654, -0.014907837]Mag:[-49.43695, 50.531006, -52.61383]Pre:nullrot:[0.12279893, -0.03196637, -0.26159933, 0.95679903, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788943465021722Acc:[-0.829895, 2.3546906, 9.333801]Gyro:[0.020706177, 0.059295654, -0.014907837]Mag:[-49.43695, 50.531006, -52.61383]Pre:nullrot:[0.12269482, -0.03236366, -0.26469478, 0.9559473, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788943465021722Acc:[-0.829895, 2.3546906, 9.333801]Gyro:[0.020706177, 0.059295654, -0.014907837]Mag:[-47.862244, 53.00598, -52.764893]Pre:nullrot:[0.12269482, -0.03236366, -0.26469478, 0.9559473, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788943465021722Acc:[-0.829895, 2.3546906, 9.333801]Gyro:[0.026763916, 0.061080933, -0.017105103]Mag:[-47.862244, 53.00598, -52.764893]Pre:nullrot:[0.12269482, -0.03236366, -0.26469478, 0.9559473, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788943527491204Acc:[-0.22175598, 2.45047, 9.467865]Gyro:[0.026763916, 0.061080933, -0.017105103]Mag:[-47.862244, 53.00598, -52.764893]Pre:nullrot:[0.12269482, -0.03236366, -0.26469478, 0.9559473, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788943591303460Acc:[-0.2888031, 2.3786469, 9.621109]Gyro:[0.026763916, 0.061080933, -0.017105103]Mag:[-47.862244, 53.00598, -52.764893]Pre:nullrot:[0.12269482, -0.03236366, -0.26469478, 0.9559473, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788943654993645Acc:[-0.30316162, 2.3355408, 9.463074]Gyro:[0.026763916, 0.061080933, -0.017105103]Mag:[-47.862244, 53.00598, -52.764893]Pre:nullrot:[0.12269482, -0.03236366, -0.26469478, 0.9559473, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
