time:786650109678703Acc:nullGyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787706588865715Acc:[-1.576889, 6.64032, 7.739258]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787706652586418Acc:[-0.96875, 6.664261, 6.8438263]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787706716337638Acc:[-0.9974823, 6.582855, 7.2364655]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787706780058342Acc:[-0.8921356, 6.6738434, 6.3937225]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787706843870597Acc:[1.0758972, 6.2237244, 6.8055267]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787706871397453Acc:[1.0758972, 6.2237244, 6.8055267]Gyro:nullMag:[-40.06195, 25.930786, -48.48938]Pre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787708885496574Acc:[0.36242676, 6.7456665, 6.839035]Gyro:[0.115478516, 0.009597778, -0.03213501]Mag:[-43.737793, 26.905823, -49.31488]Pre:nullrot:[0.3518172, -0.1358279, -0.28746217, 0.88042086, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787708885496574Acc:[0.36242676, 6.7456665, 6.839035]Gyro:[0.115753174, 0.0053863525, -0.030288696]Mag:[-43.737793, 26.905823, -49.31488]Pre:nullrot:[0.3518172, -0.1358279, -0.28746217, 0.88042086, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787708947569328Acc:[0.28581238, 6.6834106, 6.8677673]Gyro:[0.115753174, 0.0053863525, -0.030288696]Mag:[-43.737793, 26.905823, -49.31488]Pre:nullrot:[0.3518172, -0.1358279, -0.28746217, 0.88042086, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787709010832267Acc:[0.28102112, 6.846222, 7.0784607]Gyro:[0.115753174, 0.0053863525, -0.030288696]Mag:[-43.737793, 26.905823, -49.31488]Pre:nullrot:[0.3518172, -0.1358279, -0.28746217, 0.88042086, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787709075102287Acc:[0.25228882, 6.7456665, 7.222107]Gyro:[0.115753174, 0.0053863525, -0.030288696]Mag:[-43.737793, 26.905823, -49.31488]Pre:nullrot:[0.3518172, -0.1358279, -0.28746217, 0.88042086, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787709086973625Acc:[0.25228882, 6.7456665, 7.222107]Gyro:[0.115753174, 0.0053863525, -0.030288696]Mag:[-44.036865, 27.055359, -49.31488]Pre:nullrot:[0.3518172, -0.1358279, -0.28746217, 0.88042086, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787709086973625Acc:[0.25228882, 6.7456665, 7.222107]Gyro:[0.115753174, 0.0053863525, -0.030288696]Mag:[-44.036865, 27.055359, -49.31488]Pre:nullrot:[0.35122275, -0.13578625, -0.28864145, 0.8802788, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787709086973625Acc:[0.25228882, 6.7456665, 7.222107]Gyro:[0.11709595, 0.0020141602, -0.029022217]Mag:[-44.036865, 27.055359, -49.31488]Pre:nullrot:[0.35122275, -0.13578625, -0.28864145, 0.8802788, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787709138884025Acc:[0.35284424, 6.7025757, 7.179016]Gyro:[0.11709595, 0.0020141602, -0.029022217]Mag:[-44.036865, 27.055359, -49.31488]Pre:nullrot:[0.35122275, -0.13578625, -0.28864145, 0.8802788, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787709202604728Acc:[0.34805298, 6.712143, 6.925232]Gyro:[0.11709595, 0.0020141602, -0.029022217]Mag:[-44.036865, 27.055359, -49.31488]Pre:nullrot:[0.35122275, -0.13578625, -0.28864145, 0.8802788, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787709266355949Acc:[0.15652466, 6.7887573, 7.0018463]Gyro:[0.11709595, 0.0020141602, -0.029022217]Mag:[-44.036865, 27.055359, -49.31488]Pre:nullrot:[0.35122275, -0.13578625, -0.28864145, 0.8802788, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787709288389640Acc:[0.15652466, 6.7887573, 7.0018463]Gyro:[0.11709595, 0.0020141602, -0.029022217]Mag:[-43.81256, 27.355957, -49.68872]Pre:nullrot:[0.35122275, -0.13578625, -0.28864145, 0.8802788, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787709288389640Acc:[0.15652466, 6.7887573, 7.0018463]Gyro:[0.11709595, 0.0020141602, -0.029022217]Mag:[-43.81256, 27.355957, -49.68872]Pre:nullrot:[0.34771317, -0.13362484, -0.29246813, 0.8807396, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787709288389640Acc:[0.15652466, 6.7887573, 7.0018463]Gyro:[0.11872864, -3.8146973E-4, -0.028244019]Mag:[-43.81256, 27.355957, -49.68872]Pre:nullrot:[0.34771317, -0.13362484, -0.29246813, 0.8807396, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
